Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	3	4.53	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0
Public Supply total self-supplied withdrawals, groundwater, in Mgal/d	-	-	1.85	2.16	1.96	2.38	2.13	-	-	25.11	13.84	13.7	15.89	13.27	-	-	21.97	32.65	33.06	33.11	26.54	-	-	3.47	3.19	4.51	3.05	3.29	-	-	0.25	0.29	0.14	0.74	0.47	-	-	17.71	24.2	15.62	18.12	24.1	-	-	0.45	2.81	2.75	2.44	1.9	-	-	0.97	1.03	0.42	0.92	0.82	-	-	1.2	1.56	1.07	0.86	1.46	-	-	2.82	3.28	2.83	3.31	2.74	-	-	6.98	9.37	8.72	9.79	9.76	-	-	3.68	5.67	5.66	4.97	4.59	-	-	1.58	2.4	2.75	2.92	2.3	-	-	3.57	4.72	4.03	3.51	4.21	-	-	0.95	1.41	1.31	1.45	1.31	-	-	0.41	0.94	1.53	1.66	0.71	-	-	1.33	1.32	1.63	1.4	1.79	-	-	64.73	77.45	66.98	71.93	69.35	-	-	1.5	0.92	1.44	0.89	0.86	-	-	5.02	3.97	4.51	3.62	4.9	-	-	1.7	5.64	4.69	4.97	4.63	-	-	6.92	10.25	9.9	11.64	8.88	-	-	7.41	7.15	10.13	14.54	15.64	-	-	2.09	7.46	7.71	7.12	7.59	-	-	59.66	86.11	82.54	80.02	86.75	-	-	3.17	2.91	6.42	8.23	10.63	-	-	17.99	21.92	29.55	29.79	28.55	-	-	0.4	0.56	1	0.79	0.59	-	-	27.7	29.09	21.51	24.1	19.58
Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d	0	0	0	0.01	0	0	0	0.97	0	0	8.97	0	0	0	0.01	0.06	0	1.16	0.36	0.36	0	1.9	1.97	1.31	2.9	2.02	3.13	2.12	0.09	0.12	0.21	0.23	0.12	0.08	0.08	13.01	16.28	25.16	19.66	28.52	23.45	0.96	0.42	1.01	0.99	1.32	2.06	2.24	2.47	0.78	1.28	2.06	1.35	1.42	1.09	0.92	0	0.09	0	0	0	0	0	0	1.66	0.01	0	0	0	0	0	1.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.69	141.72	125.22	180.94	164.14	223.77	54.34	1.88	0.98	0.76	1.61	1.19	1.36	0.55	0.82	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0.09	0.06	0.07	0.05	0.07	0	0	1.05	0.59	0.04	0.83	0.49	0.33	2.81	2.61	0.94	0.88	1.04	1.24	12.18	16.57	13.43	17.29	17.11	21.87	109.8	0	0	0	0	0.08	0.11	44.12	0.04	2.43	5.58	13.42	8.81	14.46	16.93	0	0	0	0	0	0	0	13.54	14.99	25.93	23.1	32.6	15	5.21
Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0
Public Supply total self-supplied withdrawals, surface water, in Mgal/d	-	-	0	0.01	0	0	0	-	-	0	8.97	0	0	0	-	-	0	1.16	0.36	0.36	0	-	-	1.31	2.9	2.02	3.13	2.12	-	-	0.21	0.23	0.12	0.08	0.08	-	-	25.16	19.66	28.52	23.45	0.96	-	-	0.99	1.32	2.06	2.24	2.47	-	-	2.06	1.35	1.42	1.09	0.92	-	-	0	0	0	0	0	-	-	0.01	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	27.88	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	125.22	180.94	164.14	223.77	54.34	-	-	0.76	1.61	1.19	1.36	0.55	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0.09	0.06	0.07	0.05	0.07	-	-	1.05	0.59	0.04	0.83	0.49	-	-	2.61	0.94	0.88	1.04	1.24	-	-	13.43	17.29	17.11	21.87	109.8	-	-	0	0	0.08	0.11	44.12	-	-	5.58	13.42	8.81	14.46	16.93	-	-	0	0	0	0	0	-	-	25.93	23.1	32.6	15	5.21
Public Supply total self-supplied withdrawals, fresh, in Mgal/d	1.69	2.02	1.85	2.17	1.96	2.38	2.13	29.32	16.04	25.11	22.81	13.7	15.89	13.27	27.47	27.44	21.97	33.81	33.42	33.47	26.54	6.29	5.18	4.78	6.09	6.53	6.18	5.41	0.25	0.29	0.46	0.52	0.26	0.82	0.55	34.48	32.82	42.87	43.86	44.14	41.57	25.06	2.93	2.93	1.44	4.13	4.81	4.68	4.37	1.99	1.74	3.03	2.38	1.84	2.01	1.74	1.97	2.08	1.2	1.56	1.07	0.86	1.46	4.63	4.48	2.83	3.28	2.83	3.31	2.74	4.53	6.06	6.98	9.37	8.72	9.79	9.76	3.35	3.24	3.68	5.67	5.66	4.97	4.59	1.95	1.67	1.58	2.4	2.75	2.92	2.3	2.48	3.69	3.57	4.72	4.03	3.51	4.21	0.97	1.11	0.95	1.41	1.31	1.45	29.19	0.67	0.61	0.41	0.94	1.53	1.66	0.71	0.16	2.34	1.33	1.32	1.63	1.4	1.79	172.9	218.54	189.95	258.39	231.12	292.7	119.16	3.48	1.66	2.26	2.53	2.63	2.25	1.41	3.22	3.93	5.02	3.97	4.51	3.62	4.9	4.22	5.15	1.7	5.64	4.69	4.97	4.63	4.88	6.59	7.01	10.31	9.97	11.69	8.95	9.55	7.51	8.46	7.74	10.17	15.37	16.13	5.68	5.25	4.7	8.4	8.59	8.16	8.83	67.34	80.49	73.09	103.4	99.65	101.89	196.55	3.29	2.87	3.17	2.91	6.5	8.34	54.75	14.04	19.25	23.57	35.34	38.36	44.25	45.48	0.58	0.67	0.4	0.56	1	0.79	0.59	32.54	42.81	53.63	52.19	54.11	39.1	24.79
Public Supply total self-supplied withdrawals, saline, in Mgal/d	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	3	4.53	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0	-	-	0	0	0	0	0
Public Supply total self-supplied withdrawals, total, in Mgal/d	-	-	1.85	2.17	1.96	2.38	2.13	-	-	25.11	22.81	13.7	15.89	13.27	-	-	21.97	33.81	33.42	33.47	26.54	-	-	4.78	6.09	6.53	6.18	5.41	-	-	0.46	0.52	0.26	0.82	0.55	-	-	42.87	43.86	44.14	41.57	25.06	-	-	1.44	4.13	4.81	4.68	4.37	-	-	3.03	2.38	1.84	2.01	1.74	-	-	1.2	1.56	1.07	0.86	1.46	-	-	2.83	3.28	2.83	3.31	2.74	-	-	6.98	9.37	8.72	9.79	9.76	-	-	3.68	5.67	5.66	4.97	4.59	-	-	1.58	2.4	2.75	2.92	2.3	-	-	3.57	4.72	4.03	3.51	4.21	-	-	0.95	1.41	1.31	1.45	29.19	-	-	0.41	0.94	1.53	1.66	0.71	-	-	1.33	1.32	1.63	1.4	1.79	-	-	189.95	258.39	231.12	295.7	123.69	-	-	2.26	2.53	2.63	2.25	1.41	-	-	5.02	3.97	4.51	3.62	4.9	-	-	1.7	5.64	4.69	4.97	4.63	-	-	7.01	10.31	9.97	11.69	8.95	-	-	8.46	7.74	10.17	15.37	16.13	-	-	4.7	8.4	8.59	8.16	8.83	-	-	73.09	103.4	99.65	101.89	196.55	-	-	3.17	2.91	6.5	8.34	54.75	-	-	23.57	35.34	38.36	44.25	45.48	-	-	0.4	0.56	1	0.79	0.59	-	-	53.63	52.19	54.11	39.1	24.79
Public Supply deliveries to domestic, in Mgal/d	1.21	1.06	1.4	-	1.49	1.5	1.03	24.23	7.5	6.95	-	8.55	9.38	9.4	22.41	20.71	15.22	-	20.78	20.59	18.7	4.89	4.25	3.53	-	5.61	4	3.29	0.24	0.28	0.38	-	0.26	0.21	0.41	29.38	26.07	33.28	-	72.03	58.19	96.99	1.34	1.54	0.83	-	2.7	2.94	2.68	1.76	1.13	1.69	-	3.63	6.01	4.71	1.93	1.96	1.15	-	1.16	1.25	1.56	2.07	1.93	1.38	-	1.41	1.34	2.07	3.88	5.18	5.9	-	7.15	8.23	7.19	3.08	1.61	1.49	-	1.91	2.07	2.3	1.54	1.34	0.68	-	1.8	2.01	1.64	1.78	2.31	2.15	-	3.15	2.82	2.64	0.85	0.64	0.71	-	1.17	1.31	1.08	0.67	0.55	0.38	-	0.53	0.33	0.57	0.1	2.11	1.07	-	1.34	1.24	1.64	127.71	148.26	126.43	-	138.92	146.47	140.74	3.22	1.03	1.68	-	1.23	1.36	0.92	2.94	2.64	2.56	-	4.95	4.42	4.07	3.91	3.55	1.29	-	4.26	4.03	4.08	4.17	5.45	6.23	-	8.01	6.9	6.05	5.98	4.73	5.99	-	7.43	9.18	9.45	3.76	4.23	3.73	-	5.51	6.5	5.82	51.49	71.45	48.94	-	71.63	78.42	76.99	3.2	2	2.21	-	3.12	4.12	6.05	11.34	11.41	0.71	-	25.11	22.05	29.38	0.51	0.58	13.06	-	0.7	0.98	1.07	20.33	24.46	48.65	-	54.33	45.61	53.25
Public Supply deliveries to commercial, in Mgal/d	0.11	0.11	0.32	-	-	-	-	0.22	1.39	2.14	-	-	-	-	4.36	3.95	6	-	-	-	-	0.49	0.4	0.48	-	-	-	-	0.01	0.01	0.07	-	-	-	-	1.08	2.6	7.23	-	-	-	-	0.16	0.31	0.09	-	-	-	-	0.22	0.22	0.25	-	-	-	-	0.03	0.09	0.26	-	-	-	-	0.06	0.06	0.55	-	-	-	-	0.39	0.38	2.14	-	-	-	-	0.27	0.69	1.92	-	-	-	-	0.41	0.24	0.68	-	-	-	-	0.51	0.5	1.33	-	-	-	-	0.09	0.1	0.17	-	-	-	-	0	0.06	0.25	-	-	-	-	0	0.23	0.03	-	-	-	-	27.99	29	52.83	-	-	-	-	0.25	0.21	0.2	-	-	-	-	0.27	1.29	0.39	-	-	-	-	0.19	0.23	0.49	-	-	-	-	0.32	0.35	0.66	-	-	-	-	2.17	1.77	1.14	-	-	-	-	0.57	0.64	1.21	-	-	-	-	4.57	7.9	19.82	-	-	-	-	0.06	0.39	0.41	-	-	-	-	0.7	0.82	0.3	-	-	-	-	0.02	0.09	9.44	-	-	-	-	4	7.91	4.19	-	-	-	-
Public Supply deliveries to industrial, in Mgal/d	0.06	0.09	0.01	-	-	-	-	0.05	0.02	0.12	-	-	-	-	0.06	3.16	1.86	-	-	-	-	0.08	0.3	0.11	-	-	-	-	0	0	0	-	-	-	-	3.67	2.38	3.59	-	-	-	-	0.18	0.5	0.44	-	-	-	-	0	0.18	0.04	-	-	-	-	0	0	0	-	-	-	-	0	0	0.01	-	-	-	-	0.24	0.04	0.01	-	-	-	-	0	0.57	1.3	-	-	-	-	0	0.01	0.05	-	-	-	-	0.18	0.06	0.03	-	-	-	-	0	0	0	-	-	-	-	0	0	0	-	-	-	-	0	0	0	-	-	-	-	5.14	2.69	6.18	-	-	-	-	0	0	0	-	-	-	-	0	0	0	-	-	-	-	0.12	0.11	0.01	-	-	-	-	0.01	0.03	0.03	-	-	-	-	0.3	0.23	0.13	-	-	-	-	0	0.01	0	-	-	-	-	0.77	3.18	1.85	-	-	-	-	0	0.01	0	-	-	-	-	0.92	0.03	0.28	-	-	-	-	0	0	0	-	-	-	-	3.05	7.89	1.24	-	-	-	-
